SHIP'S NAME,AKA,SHIP'S OWNER,VESSEL TYPE,YEAR BUILT,WHERE BUILT,DATE LOST,YEAR,MNTH,DAY,LOCATION LOST,LATITUDE LOST,LONGITUDE LOST,CAUSE OF LOSS,CONSTRUCTION,FLAG,LENGTH,BEAM,DRAFT,GROSS TONNAGE,NET TONNAGE,HOME (HAILING) PORT,DEPARTURE PORT,DESTINATION PORT,MASTER,# CREW,# PASS,LIVES LOST,SHIP VALUE,CARGO VALUE,NATURE OF CARGO,USLSS STATION NAME,LOST,PHOTO ON FILE,MISC INFORMATION,MUSEUM CROSS REFERENCE
A P Nowell,,Thomas Winsmore,Schooner,1874,"Milton, DE",8/3/1886,1886,8,3,Cape May,,,"Collision w/ ""Josephine""",Wood,US,116,30.8,9,241.11,,"Philadelphia, PA","Philadelphia, PA","Lynn, MA",James C Crowell,5,1,0,"$10,000","$1,000",388 ton coal,,N,N,#105412; Partial loss; Towed to NY,
A Pardee,,,Schooner,,,3/16/1875,1875,3,16,Little Egg Harbor,,,Grounded,,,,,,300,,"New Brunwick, NJ",,,Nicholson,5,0,0,"$16,000","$2,000",Coal,Little Egg Harbor,N,N,Refloated,
A S Wasse,,,Brig,,,1838 - 1878,1860,,,Squan Inlet S 1.5 mi,,,Stranded,,,,,,,,,,,,,,,,,,,Y,N,Total loss,
A T Coleman,,,Schooner,1865,"Talbot City, MD",1/20/1901,1901,1,20,Atlantic City,,,Stranded,,,76.1,23.4,6.1,66,63,"Baltimore, MD","New Bern, NC","Atlantic City, NJ",Benjamin B Sharp,4,0,0,"$1,800",$800,Lumber,Atlantic City,Y,N,#22033; Total loss,
A T Stewart #6,,,Pilot boat,,,11/30/1869,1869,11,30,New Jersey coast,,,"Collision w/ ""Scotia""",,,,,,,,"New York, NY",,Pilot service,,,,,,,,,Y,N,Sank,
Abbie E Campbell,,Maxon Fish et al,Schooner,1866,"Mystic, CT",9/14/1873,1873,9,14,Brigantine Shoal,,,Stranded,,,,,12,332,,"Mystic, CT","Georgetown, DC","New York, NY",Dennison,,,,"$12,000",,500 ton coal,,Y,N,Total loss,
Abbie H Gheen,,E G Taulane,Schooner,1880,,6/27/1900,1900,6,27,Manasquan Inlet,,,"Collision w/ ""Manna-Hatta""",Wood,,128,30.8,9,266,253,"Philadelphia, PA","Norfolk, VA","New York, NY",John Taylor,6,,0,"$8,000",,Lumber,,,N,#105952,
Abbie M Deering,,,Schooner,1883,,4/29/1885,1885,4,29,,,,Stranded,,,,,,101.3,96.25,"Portland, ME",,,Greenlert,17,,0,"$7,000",$200,Ice,,,N,#106152,
Abbie Pitman,,,Schooner,1866,,10/17/1879,1879,10,17,,,,Collision,,US,107,28,13,288,,"Marblehead, MA",,"Philadelphia, PA",Robinson,,,,,,Sugar,,,N,,
Abbie S Walker,,,Schooner,1883,"Jonesborough, ME",4/21/1888,1888,4,21,Hereford Inlet North bar,,,Stranded,Wood,,103.7,28.7,8.5,190.74,181.21,"North Haven, ME","Vinalhaven, ME","Philadelphia, PA",Dobbins,6,0,0,"$12,000","$4,000",Granite,Hereford Inlet,N,N,"#106218; Refloated, no damage",
Abby,,,Schooner,,,3/4/1853,1852,3,4,Cape May,,,Stranded; bilged in storm,,,,,,,,,,,,,,,,,In ballast,,Y,N,Total loss,
Abby K Bentley,,Bentley Gildersleeve & Co,Schooner,1872,"Hartford, CT",3/25/1885,1885,3,25,Squan Beach,,,Sprung foremast,,,133,32,9,286,286,"Portland, ME","Boothbay, ME","Petersburg, VA",,,,,,,,,,N,#105189,
Abby L Dow (1887),,E Coon,Schooner,1870,"Tuckahoe, NJ",11/17/1887,1887,11,17,Hereford Inlet,,,"Collision w/ ""H S Lanfair""",Wood,,120.2,30.5,9.5,347.5,330.13,"Philadelphia, PA","Rondout, NY","Philadelphia, PA",M G Townsend,6,0,0,"$4,000",$900,500 ton cement,,N,N,#1945; Partial loss,
Abby L Dow (1893),,Philip Young,Schooner,1870,"Tuckahoe, NJ",12/8/1893,1893,12,8,Hereford Inlet bar,,,Stranded,Wood,,120.2,30.5,9.5,347.5,330.13,"Philadelphia, PA","Rockport, ME","Philadelphia, PA",Douglas,6,,0,"$2,500","$1,800",Stone,Hereford Inlet & Tathaus,Y,N,#1945; Total loss,
Abby Whitman,,,Schooner,1854,"Boston, MA",1/21/1855,1855,1,21,Little Egg Harbor,,,Grounded,Wood,US,,,,235,235,"Boston, MA","Savannah, GA","Philadelphia, PA",,,,,,,,,,N,,
Abel C Buckley,,G P Buckley,Schooner,1869,"Greenport, NY",10/19/1879,1879,10,19,Barnegat,,,Damaged in storm,,,105,29,10.6,288,,,,,Young,,,,,,,,N,N,Partial damage,
Aberdeen,,S H Mills,Bark,1856,"Searsport, ME",1/6/1885,1885,1,6,Harvey Cedars LSS,,,Stranded,Wood,US,112,27.1,17,322,305.72,"New York, NY","Mobile, AL","Boston, MA",Robert P Cook,8,0,0,"$7,000","$38,000",Cotton,"Harvey Cedars, Loveladies, & Ship Bottom",Y,N ,#218; Total loss,
Abiel Abbot,,Abiel Abbot,Bark,1874,"Boston, MA",1/20/1903,1903,1,20,Ship Bottom LSS S .5 mi,,,Stranded,Wood,US,136,32.5,17,589,560,"New York, NY","Salt Key, Turks Island","New York, NY",Isaac B Hawkins,9,0,5,"$8,000","$3,000",Salt  ,Long Beach Island & Ship Bottom,Y,Y,#105479; Total loss,
Abigail (1756),,,Sloop,,,5/1/1756,1756,5,1,Great Egg Harbor Shoal,,,Stranded,,,,,,,,,"Salem, MA","Philadelphia, PA",Savage,,,,,,,,N,N,#1429; Presumed refloated,
Abigail (1831),,,Sloop,,,1/1831,1831,1,,"Leeds Point, NJ",,,Foundered at anchor,,,,,,,,,,,,1,,1,,,,,,N,,
Abigail Haley,,Haley & Co.,Schooner,1860,"Mauricetown, NJ",1/18/1868,1868,1,18,Squan Inlet S 3 mi,,,Grounded,,,,,11,,267,,,,W Haley,,,,"$20,000",,,,N,N,"Refloated; Incorrectly called ""Abigail Henry"" ",
Abraham Leggett #4,,,Pilot boat,,,3/7/1870,1870,3,7,Highlands S 3 mi,,,Grounded,,,,,,,,,,,,,,,,,,,N,N,Refloated; Towed to NY,
Absecon,,,Steamship,1884,"Bordentown, NJ",11/11/1885,1885,11,11,Absecon,,,Stranded,,,69.4,17.6,6.7,52.79,34.29,"Somers Point, NJ",,"Somers Point, NJ",Cranmer,13,0,0,"$10,000",$150,,Atlantic City,N,N,#106299; Refloated,
Acara,,Photos only,,,,,,,,Unknown,,,Unknown,,,,,,,,,,,,,,,,,,,,Y,No info on an event. Just photos,
Achille S / Achilles,,,Brig,1870,,2/21/1882,1862,2,21,Little Egg LSS E,,,Grounded,,US,,,,288,,Austria,"Montevideo, SA","New York, NY",Turcich,9,0,0,"$7,000","$90,000",Hides,#23,,N ,,
Achorn,,,Schooner,,,3/18/1880,1880,3,18,Absecon E 9 mi,,,"Collision w/ ""Maria and Elizabeth""",,,,,,87.4,,"Trenton, NJ",,,,4,0,1,,,,Stone Harbor #35 & Hereford Inlet #36,Y,N,#105378; Sank,
Active (1778),,,Brig Privateer,,,1778,1778,,,,,,Taken by HMS Mermaid,,,,,,,,,,,Williams,20,0,,,,,,,N,Crew taken prisoners,
Active (1885),,,Sloop,1868,"Freeport, NY",7/11/1885,1885,7,11,Sandy Hook Point,,,Stranded,Wood,US,30.5,11.8,3.2,7.15,6.8,"New York, NY","New York, NY",Fishing cruise,McCarthy,2,,0,$300,,,,N,N,#1636; Refloated,
Active (1938),,,Motor vessel,1895,,10/1/1938,1938,10,1,"Belford, NJ",,,Foundered,,,,,,18,,,,,,5,,0,,,,,,N,#107172,
Ada Adelia,,Adelia Inc,Fishing trawler,1870,,10/11/1991,1991,10,11,Atlantic City Artificial Reef,39-15-539 N,74-13-893 W,Opened sea cocks,Wood,US,65,20,10,,,NJ AR,AC,18,,,,,,,,,Y,Y,Sponsor - Capt Andy Applegate,See scrapbooks 38 - 43 - Purple Misc
Ada F Crosby,,John Baizly & Sons,Bark,1875,,5/1881,1881,5,,Del-Mar-Va E 200 mi,37-30-00 N,72-20-00 W,Leaking; Abandoned at sea,,US,,,,559.31,,"Philadelphia, PA","Philadelphia, PA","Portland, ME",A F Almer,10,0,1,"$2,400","$3,500",819 ton Coal,,Y,N,#105648; Total loss,
Adair F Bonney,,,Schooner,,,11/13/1875,1875,11,13,Barnegat,,,Lost at Sea,,US,,,,200.83,,,"Perth Amboy, NJ","Richmond, VA",,7,0,7,,,Coal,,Y,N,Total loss,
Addie,,,Schooner,1883,"Wilmington, DE",4/3/1886,1886,4,3,Cold Spring Inlet South bar,,,Stranded,,,41.5,15.2,4.2,16.67,15.84,"Wilmington, DE","Indian River, DE","Cape May, NJ",Tunnel,2,,,"$1,000",$400,Corn & lumber,Cold Spring,,N,#106183,
Addie B Bacon,,,Barge,1874,"Philadelphia, PA",2/10/1908,1908,2,10,Sandy Hook Flynns Knoll,,,Stranded,,,,,,422,,"Perth Amboy, NJ",,,,7,,0,,,,,,N,#105423,
Addie E Sleeper,,,Bark,,,1/4/1879,1879,1,4,Highlands,,,Dismasted in gale,,US,,,,591,,,"Aspinwall, Central America","New York, NY",,,,3,,,Old iron,,N,N,Partial loss,
Addie Harris,,,Schooner,,,3/20/1866,1866,3,20,Corsons Inlet,,,Stranded,,,,,,,,,"New York, NY","Philadelphia, PA",,,,,,,Gravel,,N,N,Refloated,
Addie Jordan,,,Schooner,1873,"Saco, ME",12/14/1907,1907,12,14,Squan Beach N 5 mi,,,Stranded,Wood,US,132.3,31.6,9.5,376,357,"Norfolk, VA","Norfolk, VA","New York, NY",Cramer,2,,0,"$2,000","$14,000",Lumber,Squan Beach #8,Y,N,#105245; Total loss,
Addie P McFadden,,,Schooner,1890,"Bath, ME",4/10/1894,1894,4,10,Ocean City LSS NW .75 mi,,,Stranded,,,125.2,30.1,8.1,251.8,239.21,"Bath, ME","Boothbay, ME","Ocean City, NJ",Stewart,6,,0,"$14,000",$300,Ice,Ocean City,,N,#106750,
Addie Schlaefer,,L H Hopkins,Schooner,1874,"Port Jefferson, NY",3/27/1877,1877,3,27,Cold Spring Inlet South bar,,,Stranded,,,105.6,28.6,8.5,178,,"New York, NY","Norfolk, VA","New York, NY",E A Deacon,6,,0,"$7,000","$6,000",9000 bushels Corn,Cape May #39,N,N,#105337; Refloated,
Addie Taylor,,,Schooner - yacht,,,10/15/1882,1882,10,15,Sandy Hook Point,,,Stranded; swamped,,,,,,,,"Jersey City, NJ","Jersey City, NJ",Pleasure cruise,Foulks,4,0,0,$300,,,Sandy Hook,Y,N,Total loss,
Addie Walton,,,Schooner,,,9/16/1876,1876,9,16,,,,"Collision w/ ""Light Brigade""",,,,,,,,"Philadelphia, PA","Philadelphia, PA","Boston, MA",,,,1,,,Coal,,Y,N,Sank,
Addie Wooster,,,Motor vessel gas,1914,,6/15/1921,1921,6,15,Atlantic City,,,Stranded,,,,,,10,,,,,,1,,0,,,,,Y,N,#213246; Total loss,
Adelaide (1840),,,Schooner,,,2/23/1840,1840,2,23,Sickles Creek,,,Stranded/Broke up,,,,,,,,,Dominica,Nova Scotia,,,,,,,,,,N ,,
Adelaide (1841),,,Schooner,,,11/14/1841,1841,11,14,Brigantine Beach,,,Leaking,,,,,,,,"Tuckerton, NJ","Tuckerton, NJ","Sing Sing, NY",,,,,,,Coal,,Y,N ,Sank,
Adelaide (1846),,,Sloop,,,9/9/1846,1846,9,9,Barnegat Inlet,,,Struck Bar; Capsized,Wood,,,,,,,"Manahawkin, NJ","Manahawkin, NJ","Barnegat City, NJ",James Lamson,4,1,4,,,,,Y,N,Capt's daughter only survivor,
Adelaide (1870),,,Schooner,1853,"Cape May, NJ",1/4/1870,1870,1,4,Barnegat,,,"Collision w/ ""Shakespeare""",,,,,9,143,,"Somerset, NJ","Somerset, NJ","Baltimore, MD",,,,,,,In ballast,,,N,Abandoned,
Adele,,,Dragger,,,1958,1958,,,Manasquan Inlet ESE 6.5 mi,,,Foundered,,,,,,65,,,,,,,,,,,,,Y,N,Sunk,
Adele Lindell,,,Schooner,,,4/30/1885,1885,4,30,Tuckerton Shoal,,,Stranded,,,,,,,,,,,Fidler,,,,,,,,N,N,Refloated,
Adele Trudell,,Frank Smith et al,Schooner,1870,,11/24/1891,1891,11,24,Sandy Hook Romer Shoal,,,Stranded in storm,Wood,,,,,157,,"Camden, NJ","Cape May, NJ","New York, NY",Roopey,8,,0,"$2,000",$310,Sand,Sandy Hook,Y,N,#944; Total loss,
Adelia B,,,Schooner,,,4/15/1874,1874,4,15,Great Egg Harbor bar,,,Stranded,,,,,,50.72,,"Great Egg Harbor, NJ","New York, NY","Somers Point, NJ",,,,,,,,,Y,N,#507; Total loss,
Adelia Burley,Adelia B,,Schooner,,,4/15/1874,1874,4,15,Great Egg Harbor bar,,,Stranded,,,,,,50.72,,"Great Egg Harbor, NJ","New York, NY","Somers Point, NJ",,4,,,,,Oysters,,Y,N,#507; Total loss,
Adelia Hodgkins,,,Schooner,,,3/6/1877,1877,3,6,Egg Harbor,,,,,,,,,,,,,,,,,,,,,,,N,,
Adeline Baxter,,Jacob Baxtor,Schooner,,,11/2/1877,1877,11,2,Corsons Inlet S .5 mi,,,Stranded in storm,,,,,,,55,,"Verplank Point, NY","Millville, NJ",Rodgers,4,,0,,,85 tons of limestone,,,N,#105954,
Adeliza,,,Schooner,,,1/13/1877,1877,1,13,Sandy Hook,,,Crushed in ice,,US,,,,,,"New York, NY","New York, NY","St Domingo, Dom Republic",Libby,,,,,,,,N,N,Towed back to Brooklyn,
Admiral Dewey,,,Barge,1898,,1/24/1918,1918,1,24,New Jersey coast,,,Burned,,,,,,303,303,,,,,2,,0,,,,,,N,#166925,
Admiral Dupont,,,Sidewheel steam,1847,England,6/8/1865,1865,6,8,Cape May,,,"Collision w/ ""Stadacona""",Iron,,,,,750,,"New York, NY","New York, NY","Hampton Roads, VA",Pepper,30,20,20,,,,,,Y,,
Admiral Rodney,,,Brig,,,7/8/1780,1780,7,8,Sandy Hook,,,Battle w/ US privateer,,England,,,,,,,,,Daniel Moore,6,,6,,,,,N,N,Lost boom,
Admirente,,Photos only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
Adolphus,,Abel C Robbins,Ship,1873,"Green Cove, NS",1/4/1886,1886,1,4,Delaware Bay The Shears,38-52-00 N,75-07-50 W,Stranded in storm,Wood,England,180,35.5,21.9,1319,,"Yarmouth, NS","London, England","Philadelphia, PA",Sanders,21,,0,"$15,000","$5,000","Barrels, chalk",Lewes; Cape Henlopen,Y,N,#66708; Total loss,
Adonis,,,Bark,1853,,3/3/1859,1859,3,3,Long Branch South end,,,Stranded in storm,Wood,Netherlands,,,,550,,"Breman, Germany","Newcastle, England","New York, NY",,12,,0,,,Grindstones; lead ingots,,Y,Y,"Total loss; Same site as ""Russland""",
Adrian ,,,Schooner,,,5/12/1855,1855,5,12,Delaware Bay,,,"Collision w/ ""Keystone State""",,,,,,,,,"Philadelphia, PA","Fall River, MA",,5,0,2,,,Coal,,Y,N,Sank in 15 minutes,
Adrian Maria,,,Trawler,,,6/8/1985,1985,6,8,Hereford Shoal,,,Stranded,,,37,,,,,"Wildwood, NJ",,,,,,,,,,,,N,Total loss,
Adriana,,,Merchantman,,,12/1801,1801,12,,Delaware bay,,,Crushed in ice,,US,,,,,,,,,,,,,,,,,Y,N,Sank,
Adriatic,,,Fishing trawler,,,1/18/1999,1999,1,18,Beach Haven SE 5 mi,,,Unknown,Steel,US,74,,,,,,"Pt Pleasant, NJ",Clamming service,George Evans,4,,4,,,Clams,USCG Atlantic City,Y,Y,Dredge hose tangled in prop,Scrapbook #15
Adriatic (1864),,E E Morgan & Sons,Sailing ship,1861,"East Boston, MA",8/12/1864,1864,8,12,Montuk SW 20 mi,,,"Burned by Confederate Raider ""Tallahassee""",Wood,US,181,34,23,989,,"New York, NY","London, England","New York, NY",R H Moore,,163,0,,,,,Y,N,"One of 30 ships captured by ""Tallahassee""",
Adrienne,,,Sloop,,,10/23/1878,1878,10,23,Short Beach,,,Stranded in storm,,,,,,,,,"Toms River, NJ",,,3, ,0,,,,Little Egg #23,N,N,Refloated,
Adry,,,Motor vessel,1916,,3/21/1927,1927,3,21,Perth Amboy,,,Burned,,,,,,13,,,,,,1,,0,,,,,,N,#214623,
Advent,,,Schooner,,,5/9/1851,1851,5,9,Delaware Capes,,,Grounded,,,,,,,,"Augusta, GA","Boston, MA","Savannah, GA",Rowe,,,,,,Ice,,Y,N,Total loss,
Adventure (1760),,,Merchantman,,,1760,1760,,,Sandy Hook,,,Stranded,,Scotland,,,,,,,,,"Dublin, Ireland",,,,,,,,,N,,
Adventure (1762),,,Schooner,,,10/8/1762,1762,10,8,Barnegat,,,Stranded,Wood,US,,,,,,"New London, CT","St Martins, WI","New London, CT",Ashcroft,,,0,,,Salt,,,N,,
Adventurer,,Adventure Fleet Inc,Charter fishing boat,1959,"Dorchester, NJ",4/16/1983,1983,4,16,Cape May Inlet SE 12 mi,38-45-7 N,74-43-19 W,Foundered,Wood,US,55.9,14.4,3.7,23,15,"Wildwood, NJ","Wildwood, NJ",Day trip,Lawrence Madden,2,16,0,,,,"USCG ""Cape Starr""",Y,N,#282412; Total loss,
Aeolus,,Neptune Maritime Co,Tanker,1965,"Sunderland, England",8/24/1974,1974,8,24,Ambrose Light E 2 mi,,,Grounded,Steel,Liberia,800,,,35324,,"Moravia, Liberia","St Croix, USVI","New York, NY",Stamatioa Stogiannos,,,,,,66075 ton crude oil,,N,Y,Refloated,
African Monarch,,Monarch SS Co,Steamship,1898,"Newcastle, England",8/12/1910,1910,8,12,Brigantine LSS SE 3 mi,,,Stranded,Steel,England,376.7,48,26.3,4296,,"Glasgow, Scotland","Philadelphia, PA","New York, NY",Thomas Taters,35,,0,"$40,000",,None,South Brigantine & Brigantine,N,N,#108781; Refloated w/o assistance,
Agnes (1808),,,Ship,,,11/1808,1808,11,,Cape May,,,Foundered,,,,,,,,,"Charleston, SC",,,,,,,,,,Y,N,Driven to sea,
Agnes (1877),,,Steamship,,,3/1/1877,1877,3,1,Cold Spring Bar,,,Stranded,,,,,,583,,"New York, NY","Philadelphia, PA","New York, NY",Burdick,18,,0,"$20,000","$30,000","Whiskey, brandy, soup, paper",3 Mile Beach #38,N,N,Refloated,
Agnes (1885),,,Schooner,,,3/27/1885,1885,3,27,Sandy Hook Romer Shoal,,,Stranded,,,,,,,,"South Amboy, NJ","Barren Island, NY","South Amboy, NJ",Lowery,,,,,,,,N,N,Towed to Red Hook,
Aid (1864),,,Bark,,,8/3/1864,1864,8,3,Barnegat South Shoal,,,Stranded,,US,,,,,,,Bermuda,"New York, NY",Goodwin,12,0,0,,,Sugar,,Y,N,Broke up,
Aid (1876),,,Schooner,,,9/17/1876,1876,9,17,Maurice River Flats,,,Stranded,,,,,,,,,"Philadelphia, PA","Fall River, MA",,,,1,,,Coal,,,N,Captain's wife lost,
Ajax,,Thomas Marshall,Tug steam,,,2/4/1858,1858,2,4,Long Branch,,,Stranded; leaking,Wood,US,,,,,,"New York, NY","Barnegat Inlet, NJ","New York, NY",Thomas Marshall,,,0,"$16,000",,,,Y,N,Sent to tow Mary Dyer to NY,
Akron (1912),,Melvin Vaniman,Blimp,,,7/2/1912,1912,7,2,Atlantic City E .5 mi,,,Explosion; Burned,,,258,,,5.5,,"Atlantic City, NJ",,,Melvin Vaniman,5,,5,"$50,000",,,South Brigantine & Atlantic City,Y,Y,Attempted to cross Atlantic,
Akron (1933),,U S Navy,Blimp,1931,"Akron, OH",4/3/1933,1933,4,3,Little Egg Harbor E 30 mi,,,Crashed in storm,Steel,US,785,144.4,,200,,"Lakehurst, NJ","Lakehurst, NJ",Demo cruise,Frank McCord,76,,73,,,,,,Y,,
Alabama,,,Schooner,,,2/15/1846,1846,2,15,Squan Inlet S 1 mi,40-05-20 N,74-02-00 W,Stranded in gale,,,,,,,,,"Philadelphia, PA","New York, NY",Nicholson,7,0,7,,,"Hides, spices, iron",,Y,N,"Crew, ship, cargo lost ",
Alamo,,Eldon S Poole,Yacht motor,1949,"Millville, NJ",8/7/1970,1970,8,7,Cape May E 30 mi,,,Capsized while in tow,Wood,US,35.1,11.4,4.7,13,11,"Philadelphia, PA",,,C W Bailey,4,0,2,,,,,Y,N,#264192; Sank while in tow by USCG,
